X	Y	concept	definition	id
1	1	abductive reasoning	The process of adopting an explanatory hypothesis; inferring the cause A as a possible explanation for the consequence B 	trm_4a3fd79d096be
2	1	absolute threshold	the minimum stimulation necessary for a participant to detect a stimulus 50% of the time	trm_4fe9fb5f6a552
3	1	abstract analogy	high-level analogy that retains general information relevant to many specific instances	trm_4a3fd79d096e3
4	1	abstract knowledge	Knowledge that is general and not tied to a specific instance.	trm_4a3fd79d096f0
5	1	acoustic coding	a type of short term memory coding that represents the acoustic properties of the signal	trm_4a3fd79d096fc
6	1	acoustic encoding	the processing and encoding of auditory input for storage and later retrieval.	trm_4a3fd79d09707
7	1	acoustic phonetic processing	"the cognitive ability to discriminate items on the basis of contrasts in sonorance, manner, place, or voicing in auditory stimuli.
"	trm_4a3fd79d09713
8	1	acoustic processing	the extraction of information from signals propagated undersea, in the atmosphere, or in the solid earth in the presence of acoustic noise.	trm_4a3fd79d0971e
9	1	action	the bringing about of an alteration by force or through a natural agency; expression by means of attitude, voice, and gesture; a function of the body or one of its parts; an act of will; a thing done; the accomplishment of a thing usually over a period of time, in stages, or with the possibility of repetition.	trm_4a3fd79d09735
10	1	action initiation	the facilitation or initiation of an act	trm_4a3fd79d0b5c0
11	1	action perception	The ability to perceive the purpose of an action being performed by an animate entity.	trm_5159c00c3dac3
12	1	action selection	The selection of one action from a set of possible actions.	trm_4a3fd79d0b5cb
13	1	activation	the relative engagement of a particular mental representation compared to other representations	trm_4a3fd79d09741
14	1	activation level	quantity or amount of activation	trm_4a3fd79d0974d
15	1	active maintenance	The maintenance of information in working memory through active (volitional) rather than passive means	trm_4a3fd79d0ba0d
16	1	active recall	a principle of efficient learning, which claims the need to actively stimulate memory during the learning process.	trm_4a3fd79d0b8b5
17	1	active retrieval	"Effortful (volitional) attempt to consciously recollect a memory; often required when retrieval cannot be automatically driven by stimuli.
"	trm_4a3fd79d0b8c1
18	1	acuity	accuracy of perception. 	trm_4a3fd79d0b98a
19	1	adaptation	adjustment to environmental conditions; adjustment of a sense organ to the intensity or quality of stimulation; modification of an organism or its parts that makes it more fit for existence under the conditions of its environment. 	trm_4a3fd79d09758
20	1	adaptive control	modifying the control law used by a controller to cope with the fact that the parameters of the system being controlled are slowly time-varying or uncertain.	trm_4a3fd79d09764
21	1	addiction	A phenomenon sometimes conflated and sometimes contrasted with dependency, in which a person has transitioned from liking a rewarding substance or behavior to requiring it.	trm_4fafd1626bf2b
22	1	affect perception	The ability to understand a facial, vocal, or gestural behavior that serves as an indicator of emotion.	trm_4a3fd79d09770
23	1	affect recognition	The ability to understand a physical expression that serves as an indicator of emotion.	trm_4a3fd79d0977b
24	1	agency	The ability to recognize one’s self as the agent of one’s actions and thoughts, including the recognition of one’s own body/body parts.	trm_5154b2f947fe9
25	1	agreeableness	"Agreeableness is a personality trait manifesting itself in individual behavioral characteristics that are perceived as kind, sympathetic, cooperative, warm and considerate.

http://en.wikipedia.org/wiki/Agreeableness"	trm_523f5ee64102c
26	1	altruism	helping others in the absence of an immediately obvious reward.	trm_4a3fd79d097b4
27	1	altruistic motivation	A desire or need to help others driven by selflessness.	trm_4a3fd79d097bf
28	1	alveolar	speech sound articulated with the tip of the tongue touching or near the teethridge.	trm_4a3fd79d097cb
29	1	amodal representation	The way the brain codes multiple inputs such as words and pictures to integrate and create a larger conceptual idea; independent of a particular modality	trm_4a3fd79d097d6
30	1	analog representation	a value or variable in analog form.	trm_4a3fd79d097e2
1	2	analogical encoding	the structural comparison of a familiar with a novel situation	trm_4a3fd79d097ed
